time,text
68.0,823679 CPIU  22G1  ee. at C  ist  
70.0,CPIU 8236/9 2201  en py    
72.0,CPIU 8236/9 2261  30.  480 KGS 67.200  LBS te  9.920  KGS 895  LAS 
74.0,"§236/9 CPIU  2261  30,  480 KGS 61.1  900 LBS   290 KGS B95  LBS "
76.0,CPIU 823679 2261  30.  480 KGS B17  200 LBS ‘900  KGS   On  ae 
78.0,8236/9 CPIU  2261  30.  480 KGS Ono  67.200 LBS   990  KGS 4 ONE  pe 
80.0,§236/9 CPIU  2261  30.  480 KGS 61.2  200 LBS 920  KGS ig  95  LBS PAINE  
82.0,"8236/9 CPIU  2261  30,  480 KGS Mos  67. 200 LBS 9  920  Kes “TARE  SOL  ‘pe "
84.0,CPIU 823679 2201  30.  480 K&S 67  200 LBS -99n  yee 
86.0,8236/9 CPIU  2261  FR.  30. 480 KGS 67.  200 LBS 990  KGS Bias  895 LBS 
88.0,"CPIU §236/9 2261  GR.  30, 480 KGS 67.200  LBS 990  KGS 895  LBS "
90.0,"CPIU 8236/9 2261  GR.  30, 480 K&S 61.2  200 LBS Wings  220 KGS ‘895  LBS "
92.0,§236/9 CPIU  2261  GR.  30. 480 KGS 67.206  LBS 590  KGS 895  LBS Hee bey    
94.0,CPIU 823679 2261  GR.  30. 480 KGS 67.200  LBS 7.790  KGS 895  LBS nee  
96.0,CP | §236/79 2201  GR.  30. 480 KGS 61.  200 LBS 220  KGS 1895  LBS Winget  
98.0,
100.0,CPIU 823679 22G1  30.  480 KGS 61.  200 LBS te  920 KGS 695  LBS 
102.0,CPIU 823679 2261  He dl at ey  ae  AQN  yee 
104.0,CPIU 8236/79 22G1  eet    
106.0,8236/9 CPIU  2241  Rice    
108.0,8236/9 CPIU  2201  age  
110.0,CPIU 8236/79 2261  Peer  ee fy  30.  480 KGS ro  
112.0,CPIU 823679 2261  Oe igs  30. 480 KGS 61.7  200 LBS TWA.  
114.0,8236/79 CPIU  2261  Mia  aR. 30. 480 KGS 900  LBS »9n  vre 
116.0,"CPIU $236 7/5 2261  Mies,  30.  480 KGS "
118.0,CPIU 8236/79 2201  iing ;  it  
120.0,CPIU §236/9 22G1  Rao  an  AQNn yee 
122.0,§236/79 CPIU  2261  30.  480 KGS 
124.0,CPIU 8236/9 2261  it waar 7    AQn  yee 
126.0,CPIU 8236/9 2261  Aan  yee 
128.0,8236/79 CPIU  2261    yee  
130.0,8736/9 CPIU  2201  
132.0,CP Il 823679 2261  eit  AQN  yee 
134.0,8236/79 CPIU  2201  Baca /    30.  480 KGS 
136.0,CPIU 823679 2261  a  
138.0,CPIU 823679 w 201  ate  
140.0,CPIU 823679 2241  Miwiad    
142.0,CPIU 823679 2261  Miviag  ny  
144.0,823679 CPIU  22G1  hn  480 KGS 
146.0,"CPIU 36/9 2261  Bcc  30,  480 KGS   vie  7.200 LBS "
148.0,"9736/9 CPIU  2201  30.  480 KGS 51.200  LBS NAA,  "
150.0,CPIU 8236/9 2261  ARN  KRS 
152.0,8236/79 CPIU  2261  30.  480 KGS 67.  900 BS RIAA.  
154.0,CPIU §236/9 2201  ths  30.  480 KGS 
156.0,CPIU 8236/9 D201  
158.0,CPIU 823679 D261    
160.0,CPIU 8236/9 122G1  ed  
162.0,
164.0,
